Id,Label,Modularity Class
273,273,3.376398866522198e-06
274,274,8.667153152624116e-06
276,276,4.1825116428602e-05
279,279,5.120838726754429e-06
282,282,2.487894138656503e-06
283,283,3.0272585346449802e-05
284,284,7.814984360473919e-06
285,285,3.990081630284555e-05
286,286,1.1947316632776887e-05
288,288,2.487894138656503e-06
292,292,2.487894138656503e-06
294,294,3.2597132806388316e-05
296,296,2.487894138656503e-06
297,297,4.828993780790571e-06
300,300,3.9469922155769505e-06
301,301,2.2330397208535077e-05
302,302,3.6584439597235384e-06
303,303,4.1825116428601976e-05
304,304,2.487894138656503e-06
307,307,1.397740841896905e-05
308,308,3.102983565053877e-06
312,312,2.487894138656503e-06
313,313,4.1825116428602016e-05
314,314,3.193295149425329e-05
316,316,4.828993780790571e-06
317,317,4.828993780790571e-06
318,318,2.487894138656503e-06
322,322,6.566154180639833e-06
323,323,4.182511642860209e-05
325,325,1.2349352074501533e-05
327,327,3.9469922155769505e-06
334,334,2.487894138656503e-06
338,338,1.1852292707192778e-05
342,342,4.828993780790572e-06
343,343,6.307982121237197e-05
344,344,6.2021065478874165e-06
345,345,3.102983565053877e-06
349,349,2.766169074920903e-05
352,352,5.663467304198954e-06
353,353,2.487894138656503e-06
354,354,4.27977174755009e-05
356,356,2.487894138656503e-06
357,357,4.182511642860202e-05
358,358,7.361800351874601e-06
363,363,4.182511642860196e-05
364,364,3.2433191136522773e-06
367,367,4.182511642860198e-05
368,368,4.18251164286021e-05
370,370,8.983727239040527e-06
372,372,2.487894138656503e-06
374,374,4.0138892890452165e-06
377,377,4.1825116428601976e-05
378,378,3.2433191136522773e-06
381,381,2.487894138656503e-06
384,384,4.1825116428602037e-05
387,387,4.182511642860207e-05
388,388,8.35779192037123e-06
390,390,2.487894138656503e-06
399,399,4.182511642860198e-05
400,400,3.2433191136522773e-06
404,404,2.487894138656503e-06
405,405,3.6584439597235376e-06
407,407,4.828993780790572e-06
409,409,2.487894138656503e-06
414,414,8.35779192037123e-06
415,415,6.307982121237201e-05
417,417,2.487894138656503e-06
418,418,1.397740841896905e-05
421,421,4.7471440141149886e-06
425,425,6.307982121237203e-05
426,426,4.1825116428602064e-05
427,427,4.6371119915344016e-06
428,428,1.0908427631842127e-05
429,429,2.487894138656503e-06
430,430,6.851585495853851e-06
431,431,2.487894138656503e-06
434,434,4.828993780790571e-06
435,435,2.487894138656503e-06
436,436,3.6584439597235376e-06
440,440,2.487894138656503e-06
445,445,4.182511642860209e-05
446,446,4.1825116428602016e-05
450,450,4.637111991534401e-06
453,453,4.1825116428602084e-05
456,456,3.268260686034526e-06
458,458,3.592352451085758e-06
461,461,8.389502902419015e-05
463,463,5.407815608705632e-06
464,464,4.182511642860211e-05
465,465,4.1825116428602e-05
468,468,5.990763393477776e-05
469,469,1.925940532020796e-05
470,470,4.828993780790572e-06
471,471,5.282309287634154e-06
475,475,3.376398866522198e-06
477,477,4.182511642860209e-05
479,479,2.487894138656503e-06
480,480,3.9469922155769505e-06
481,481,4.637111991534403e-06
488,488,4.828993780790571e-06
493,493,3.592352451085758e-06
496,496,4.828993780790571e-06
498,498,3.3967225609949974e-06
499,499,4.828993780790571e-06
500,500,2.487894138656503e-06
501,501,2.487894138656503e-06
506,506,4.1825116428602e-05
510,510,4.759965194502737e-06
511,511,3.6584439597235376e-06
513,513,3.658443959723538e-06
515,515,4.182511642860205e-05
516,516,4.828993780790571e-06
518,518,1.0320313614601073e-05
524,524,4.6371119915344016e-06
525,525,5.868358866636588e-06
527,527,4.828993780790571e-06
532,532,4.828993780790572e-06
533,533,4.182511642860205e-05
538,538,3.946992215576948e-06
539,539,4.828993780790571e-06
543,543,4.6371119915344016e-06
545,545,2.487894138656503e-06
554,554,4.1825116428602064e-05
555,555,4.828993780790572e-06
556,556,2.8447370246823503e-05
569,569,4.182511642860204e-05
573,573,1.3441573773911654e-05
576,576,4.1825116428602084e-05
577,577,4.1825116428602037e-05
579,579,4.182511642860199e-05
581,581,4.1825116428602064e-05
582,582,5.141187023524682e-06
583,583,4.637111991534403e-06
584,584,4.182511642860204e-05
585,585,2.487894138656503e-06
590,590,4.182511642860198e-05
594,594,2.487894138656503e-06
595,595,4.182511642860207e-05
600,600,4.182511642860205e-05
603,603,2.487894138656503e-06
604,604,4.182511642860207e-05
606,606,4.828993780790571e-06
608,608,2.487894138656503e-06
614,614,4.182511642860205e-05
618,618,4.1825116428602064e-05
624,624,3.6584439597235376e-06
628,628,6.851585495853852e-06
630,630,5.402035067190344e-06
631,631,4.828993780790572e-06
633,633,2.487894138656503e-06
636,636,4.828993780790572e-06
642,642,2.487894138656503e-06
644,644,3.592352451085758e-06
648,648,4.828993780790571e-06
651,651,2.487894138656503e-06
652,652,4.1825116428602084e-05
653,653,7.3980211245729705e-06
656,656,4.1825116428602016e-05
662,662,5.282309287634154e-06
663,663,2.487894138656503e-06
679,679,4.1825116428602084e-05
680,680,8.536641849741014e-06
685,685,4.182511642860205e-05
688,688,4.828993780790573e-06
690,690,4.7471440141149886e-06
691,691,4.828993780790572e-06
692,692,4.1825116428602064e-05
699,699,2.487894138656503e-06
709,709,4.1825116428602064e-05
714,714,4.182511642860199e-05
719,719,4.828993780790571e-06
722,722,4.182511642860201e-05
723,723,4.182511642860204e-05
724,724,4.828993780790571e-06
726,726,6.2021065478874165e-06
731,731,4.182511642860199e-05
736,736,1.257887034812741e-05
745,745,2.487894138656503e-06
746,746,1.1991635081822437e-05
748,748,2.487894138656503e-06
749,749,4.1825116428602084e-05
750,750,2.487894138656503e-06
753,753,2.0067026157974305e-05
754,754,4.283298383446416e-05
755,755,2.2632727337695788e-05
760,760,4.182511642860201e-05
764,764,1.067717129031945e-05
765,765,5.2140885748738416e-06
767,767,2.0705493934023872e-05
776,776,4.1825116428602016e-05
781,781,2.487894138656503e-06
782,782,4.182511642860208e-05
788,788,3.9469922155769505e-06
789,789,4.637111991534403e-06
790,790,3.946992215576948e-06
791,791,3.6584439597235384e-06
794,794,3.6584439597235376e-06
795,795,4.828993780790572e-06
796,796,2.487894138656503e-06
797,797,4.828993780790573e-06
798,798,1.0908427631842127e-05
804,804,2.487894138656503e-06
805,805,6.570049283259861e-06
806,806,2.1263585895636518e-05
808,808,1.790297317414456e-05
811,811,1.3165103370043728e-05
814,814,8.882307140366516e-06
815,815,2.487894138656503e-06
816,816,9.588103965129056e-06
819,819,3.592352451085758e-06
820,820,4.828993780790573e-06
823,823,4.182511642860206e-05
827,827,4.6371119915344016e-06
828,828,6.362011843306078e-06
829,829,5.9907633934777814e-05
831,831,4.637111991534402e-06
833,833,4.182511642860207e-05
834,834,4.182511642860203e-05
835,835,3.268260686034527e-06
836,836,4.828993780790571e-06
837,837,3.268260686034527e-06
838,838,2.8780774123455143e-06
852,852,2.487894138656503e-06
855,855,5.9907633934777753e-05
860,860,7.284253217145204e-06
861,861,4.828993780790573e-06
867,867,4.182511642860199e-05
870,870,2.487894138656503e-06
872,872,2.487894138656503e-06
873,873,4.828993780790573e-06
880,880,4.182511642860205e-05
889,889,3.931884840096869e-06
899,899,1.3194957714988567e-05
901,901,4.828993780790571e-06
903,903,3.931884840096869e-06
905,905,4.828993780790572e-06
907,907,3.6584439597235376e-06
928,928,4.828993780790571e-06
932,932,3.073169049190021e-06
941,941,3.0731690491900203e-06
948,948,4.18251164286021e-05
950,950,4.1825116428601976e-05
963,963,4.7471440141149886e-06
968,968,2.766169074920903e-05
970,970,4.902376781519298e-06
971,971,2.487894138656503e-06
976,976,2.487894138656503e-06
977,977,7.953421325419731e-06
978,978,4.182511642860209e-05
985,985,4.1825116428602016e-05
1024,1024,2.487894138656503e-06
1026,1026,2.487894138656503e-06
1047,1047,2.487894138656503e-06
1050,1050,2.487894138656503e-06
1062,1062,2.487894138656503e-06
1067,1067,2.487894138656503e-06
1072,1072,2.487894138656503e-06
1082,1082,2.487894138656503e-06
1103,1103,4.1825116428602064e-05
1151,1151,2.487894138656503e-06
1153,1153,2.487894138656503e-06
1170,1170,2.487894138656503e-06
1227,1227,2.487894138656503e-06
1241,1241,2.487894138656503e-06
1247,1247,2.487894138656503e-06
1249,1249,2.487894138656503e-06
1251,1251,2.487894138656503e-06
1256,1256,2.487894138656503e-06
1291,1291,2.487894138656503e-06
1303,1303,2.487894138656503e-06
1367,1367,2.487894138656503e-06
1368,1368,2.487894138656503e-06
1421,1421,2.487894138656503e-06
1455,1455,2.487894138656503e-06
1458,1458,2.487894138656503e-06
1545,1545,2.487894138656503e-06
1565,1565,2.487894138656503e-06
1638,1638,2.487894138656503e-06
1680,1680,2.487894138656503e-06
1681,1681,2.487894138656503e-06
1691,1691,5.639183118219471e-06
1712,1712,2.487894138656503e-06
1807,1807,2.487894138656503e-06
1850,1850,2.487894138656503e-06
1907,1907,2.487894138656503e-06
1915,1915,2.487894138656503e-06
1990,1990,2.487894138656503e-06
2006,2006,2.487894138656503e-06
2037,2037,2.487894138656503e-06
2046,2046,2.487894138656503e-06
2070,2070,2.487894138656503e-06
2111,2111,2.487894138656503e-06
2171,2171,2.487894138656503e-06
2225,2225,4.1825116428602084e-05
2244,2244,2.487894138656503e-06
2268,2268,2.487894138656503e-06
2336,2336,2.487894138656503e-06
2379,2379,2.487894138656503e-06
2408,2408,4.828993780790571e-06
2414,2414,2.487894138656503e-06
2421,2421,2.487894138656503e-06
2445,2445,2.487894138656503e-06
2509,2509,2.487894138656503e-06
2510,2510,2.487894138656503e-06
2526,2526,2.487894138656503e-06
2529,2529,2.487894138656503e-06
2541,2541,2.487894138656503e-06
2626,2626,2.487894138656503e-06
2685,2685,2.487894138656503e-06
2696,2696,2.487894138656503e-06
2807,2807,2.487894138656503e-06
2905,2905,2.487894138656503e-06
2908,2908,2.487894138656503e-06
2913,2913,2.487894138656503e-06
2995,2995,2.487894138656503e-06
3010,3010,2.487894138656503e-06
3015,3015,2.487894138656503e-06
3017,3017,2.487894138656503e-06
3026,3026,2.487894138656503e-06
3035,3035,2.487894138656503e-06
3060,3060,2.487894138656503e-06
3093,3093,2.487894138656503e-06
3107,3107,2.487894138656503e-06
3134,3134,2.487894138656503e-06
3170,3170,2.487894138656503e-06
3179,3179,2.487894138656503e-06
3248,3248,2.487894138656503e-06
3269,3269,2.487894138656503e-06
3305,3305,2.487894138656503e-06
3337,3337,2.487894138656503e-06
3419,3419,2.487894138656503e-06
3774,3774,4.828993780790572e-06
4910,4910,4.828993780790572e-06
5533,5533,2.2680372181367827e-05
6014,6014,2.487894138656503e-06
6792,6792,2.487894138656503e-06
6878,6878,4.182511642860207e-05
6958,6958,2.487894138656503e-06
7188,7188,2.487894138656503e-06
7328,7328,4.182511642860208e-05
7334,7334,5.975936463697667e-06
7335,7335,2.487894138656503e-06
7336,7336,2.487894138656503e-06
7337,7337,2.487894138656503e-06
7372,7372,4.8289937807905695e-06
7388,7388,2.487894138656503e-06
7390,7390,2.487894138656503e-06
7395,7395,4.828993780790571e-06
7398,7398,2.487894138656503e-06
7400,7400,2.487894138656503e-06
7403,7403,2.487894138656503e-06
7417,7417,4.209204577113136e-06
7419,7419,2.487894138656503e-06
7420,7420,2.487894138656503e-06
7455,7455,2.487894138656503e-06
7481,7481,2.487894138656503e-06
7483,7483,3.6584439597235376e-06
7503,7503,2.487894138656503e-06
7506,7506,8.170125456539078e-06
7510,7510,2.487894138656503e-06
7513,7513,3.6584439597235376e-06
7514,7514,4.828993780790572e-06
7517,7517,8.890135828750069e-06
7520,7520,2.487894138656503e-06
7521,7521,4.828993780790571e-06
7522,7522,2.487894138656503e-06
7523,7523,2.487894138656503e-06
7530,7530,2.487894138656503e-06
7531,7531,2.487894138656503e-06
7532,7532,2.487894138656503e-06
7535,7535,2.487894138656503e-06
7536,7536,8.890135828750067e-06
7540,7540,2.487894138656503e-06
7552,7552,1.0899094501678625e-05
7556,7556,4.828993780790571e-06
7558,7558,2.487894138656503e-06
7560,7560,2.8780774123455143e-06
