2018-07-18 14:20:16,"Na Ilha de Deus Caranguejo Uçá participando do Jornal da Maré, grato pelo convite e tamo junto nessa caminhada. Uma… https://t.co/jqhCVrNunh"
2018-07-18 14:19:59,"RT @depjorgesolla: A justiça (e seus juízes) existe para nos livrar da tirania de homens comuns, mas quem pode nos salvar de magistrados ti…"
2018-07-18 14:19:58,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:19:03,"RT @JFMargarida: MANDELA VIVE, LULA LIVRE!

18 de julho de 2018, 100 anos do nascimento de Nelson Mandela. A prisão política de Lula comple…"
2018-07-18 14:18:53,"RT @DilmaResiste: Você é capaz de identificar a manipulação feita pelo Estadão? Olhe atentamente.
#LulaLivre #Resistencia102Dias https://t.…"
2018-07-18 14:18:11,"Liberdade para Lula!
#LulaLivre https://t.co/rTqg6GwDSx"
2018-07-18 14:18:02,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:18:02,"MANDELA VIVE, LULA LIVRE!

18 de julho de 2018, 100 anos do nascimento de Nelson Mandela. A prisão política de Lula… https://t.co/EYk4nF35Da"
2018-07-18 14:17:59,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:16:25,"RT @eduardonino: Retweeted eduardo (@eduardonino):

Retweeted Galera Vermelha (@GaleraVermelha):

#LulaLivre https://t.co/68TmvuuFY3 https:…"
2018-07-18 14:16:25,"RT @DilmaResiste: Advogados do Estadão garantem: é Lula 2018!
Via @eduguim #LulaLivre #Resistencia103Dias
Há muito que se afirma que há esp…"
2018-07-18 14:15:54,RT @wadih_damous: O melhor remédio contra o judiciário parcial é #LulaLivre #100diasdeinjustiça
2018-07-18 14:15:10,"RT @erikakokay: #LulaLivre agora no samba da resistência, no Setor Comercial Sul, em Brasília https://t.co/JLGFXgT2L7"
2018-07-18 14:14:43,RT @redebrasilatual: LÍDERES Semana do centésimo aniversário de nascimento do líder sul-africano também marca os 100 dias em que Lula é man…
2018-07-18 14:14:38,RT @JFMargarida: Vanderlei Luxemburgo afirma que o juiz Sérgio Moro jogou a Constituição no lixo. #LulaLivre #OBrasilFelizDeNovo #100DiasDe…
2018-07-18 14:14:24,"RT @DeputadoFederal: MANDELA VIVE, LULA LIVRE!

A prisão política de Lula completa
mais de 100 dias. Hoje, 100 anos do nascimento de Nelson…"
2018-07-18 14:14:14,"RT @sandracantii: Bom dia companheiras e companheiros..!
""“Se você falar com um homem numa linguagem que ele compreende, isso entra na cabe…"
2018-07-18 14:14:09,"Marcha #LulaLivre!! De Caruaru a Recife, início em 16/07/18. https://t.co/p4u5thp5Qk"
2018-07-18 14:14:04,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Associação Juízes para a Democracia divulga nota de apoio ao desembargador Rogério Favreto…"
2018-07-18 14:13:51,RT @ptbrasil: Há mais de 100 dias guerreiras e guerreiros de todo o país têm apoiado @LulaOficial na Vigília #LulaLivre. Graças ao moviment…
2018-07-18 14:13:23,"RT @gleisi: Eu e Dilma Rousseff, junto com uma delegação de esquerda, denunciando e reafirmando o caráter político da prisão de Lula a lide…"
2018-07-18 14:13:15,RT @CUT_Brasil: - 100 anos de Mandela! Grande ícone da luta antirracista na África do Sul que deixou ao mundo o seu exemplo de resistência…
2018-07-18 14:13:04,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 14:13:02,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Associação Juízes para a Democracia divulga nota de apoio ao desembargador Rogério Favreto…"
2018-07-18 14:12:54,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:12:53,RT @DrFernandoOrtiz: Recado de Lula para todos os militantes que lutam pela sua liberdade! #LulaLivre https://t.co/uHyBLKIbX3
2018-07-18 14:12:42,"RT @joomikhail: #LulaLivre Imagina LULA solto e  mostrando tudo que fez pelo povo 
mais necessitado do Brasil ...
Por isso esta preso ....s…"
2018-07-18 14:12:33,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Associação Juízes para a Democracia divulga nota de apoio ao desembargador Rogério Favreto…"
2018-07-18 14:12:27,"RT @ronaldolivreiro: Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela
https://t.co/QYKRlthwse
Semana do centési…"
2018-07-18 14:12:26,"Retweeted eduardo (@eduardonino):

Retweeted Galera Vermelha (@GaleraVermelha):

#LulaLivre https://t.co/68TmvuuFY3… https://t.co/B7iimPXfQO"
2018-07-18 14:12:19,"RT @eduardonino: Retweeted Galera Vermelha (@GaleraVermelha):

#LulaLivre https://t.co/68TmvuuFY3 https://t.co/7OwCplzLey"
2018-07-18 14:12:08,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:12:00,"RT @neusinhaschub: Vamos manter a chama acesa candidato golpista não passará! 
#lulaLivre https://t.co/8OdHcNr39V"
2018-07-18 14:11:52,RT @inespandelo: Concordo! Presente! #LulaLivre #LulaPresidente https://t.co/txCebBLmOB
2018-07-18 14:11:07,"RT @DeputadoFederal: MANDELA VIVE, LULA LIVRE!

A prisão política de Lula completa
mais de 100 dias. Hoje, 100 anos do nascimento de Nelson…"
2018-07-18 14:10:20,RT @JFMargarida: Vanderlei Luxemburgo afirma que o juiz Sérgio Moro jogou a Constituição no lixo. #LulaLivre #OBrasilFelizDeNovo #100DiasDe…
2018-07-18 14:10:09,"RT @dilmabr: @LulaOficial é vítima de uma perseguição implacável, mas é nele que o povo brasileiro enxerga esperança de dias melhores. #Lul…"
2018-07-18 14:10:05,"RT @BancaleroXequeM: Não adianta pedirmos #LulaLivre sem antes abatermos este vilão!
Sem mensalão não tem golpe! Sem Pizzolato não tem mens…"
2018-07-18 14:09:43,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:09:33,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:09:32,Se eu AMO um afronte? Amooóo amooo sim #LulaLivre #LulaPresidente https://t.co/EteSWevtcu
2018-07-18 14:09:18,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:09:01,RT @costa_rui: #LulaLivre é a esperança de dias melhores. Lutar pela libertação de Lula é lutar pela democracia e respeito à vontade do pov…
2018-07-18 14:08:31,"RT @depjorgesolla: A justiça (e seus juízes) existe para nos livrar da tirania de homens comuns, mas quem pode nos salvar de magistrados ti…"
2018-07-18 14:08:29,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 14:08:21,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
