DATE,TEXT
2018-07-18 17:18:30,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 17:18:10,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/mObanhlqIG"
2018-07-18 17:17:39,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/l7ene1hLzW"
2018-07-18 17:17:39,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/TiLUAkNgbx"
2018-07-18 17:17:19,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/Dvz0D4qAeP"
2018-07-18 17:17:18,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/EL29rtluCZ"
2018-07-18 17:17:12,"RT @JFMargarida: MANDELA VIVE, LULA LIVRE!

18 de julho de 2018, 100 anos do nascimento de Nelson Mandela. A prisão política de Lula comple…"
2018-07-18 17:16:53,"RT @depjorgesolla: PRESO POLÍTICO ONTEM, PRESIDENTE DO POVO AMANHÃ ! #lulalivre #lulainocente #lulainocente https://t.co/TcbUHHVDln"
2018-07-18 17:16:45,RT @ptbrasil: Há mais de 100 dias guerreiras e guerreiros de todo o país têm apoiado @LulaOficial na Vigília #LulaLivre. Graças ao moviment…
2018-07-18 17:16:27,"RT @danibacedo: 686 dias do Golpe
545 dias q Teori morreu no acidente ""misterioso""
126 dias q Marielle foi assassinada
100 dias q Lula está…"
2018-07-18 17:14:29,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 17:14:26,"@Sangue_Latino #FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PEL… https://t.co/iYCp3EdmdH"
2018-07-18 17:14:19,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/JgFImmfkDW"
2018-07-18 17:14:19,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/hmSrLwpC7f"
2018-07-18 17:14:18,Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela https://t.co/kOaftZDCa6
2018-07-18 17:14:06,"""Ninguém nasce odiando outra pessoa pela cor de sua pele, por sua origem ou ainda por sua religião. Para odiar, as… https://t.co/nGntTChGlE"
2018-07-18 17:13:49,Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela https://t.co/ajBfrDcb49
2018-07-18 17:13:12,"RT @BohnGass: Que outro líder brasileiro, além de Lula, reuniria tanta gente, inspiraria tanta confiança, carregaria tanta esperança? Nenhu…"
2018-07-18 17:12:30,"#LulaLivre
☭🚩Esses três sim me representam e continuarão me representando.🚩☭
#DeputadoElmano
#DeputadaLuizianne… https://t.co/nLy4ewV6AQ"
2018-07-18 17:12:10,"RT @PauloBa30395640: Do agreste à capital, pernambucanos marcham pela liberdade de Lula. Somos o Brasil na estrada por #LulaLivre! https://…"
2018-07-18 17:11:58,"RT @PauloBa30395640: Do agreste à capital, pernambucanos marcham pela liberdade de Lula. Somos o Brasil na estrada por #LulaLivre! https://…"
2018-07-18 17:10:57,RT @sorayabborges: Eleição sem @LulaOficial  É sim FRAUDE Chegaaaa já NB golpearam nossos direitos DESENVOLVIMENTO Soberania Democracia Ale…
2018-07-18 17:10:54,"RT @DilmaResiste: #LulaLivre #Resistencia103Dias
Em nota, o PSDB-MG afirma não ter cometido qualquer ilegalidade, e diz também ter interrom…"
2018-07-18 17:10:44,"Eu já!!! 😂😂😂😂😂
#LulaLivre https://t.co/MxLIypICSw"
2018-07-18 17:10:38,"Já recebeu essa mensagem hoje???
#LulaLivre https://t.co/49bZb6hl7L"
2018-07-18 17:10:21,"RT @PauloBa30395640: Do agreste à capital, pernambucanos marcham pela liberdade de Lula. Somos o Brasil na estrada por #LulaLivre! https://…"
2018-07-18 17:10:19,RT @sandraselmader: @ProjetoFines registrando presença na vigília #LulaLivre #1001DiasDeInjustiça @marcostalhari https://t.co/SaQ2qZ4mgW
2018-07-18 17:10:00,RT @LuizSilvaJF1: Qualquer pessoa com o minimo de conhecimento juridico sabe que o processo contra Lula é uma farsa! #LulaLivre https://t.c…
2018-07-18 17:09:52,"RT @depjorgesolla: A justiça (e seus juízes) existe para nos livrar da tirania de homens comuns, mas quem pode nos salvar de magistrados ti…"
2018-07-18 17:09:51,RT @JFMargarida: Vanderlei Luxemburgo afirma que o juiz Sérgio Moro jogou a Constituição no lixo. #LulaLivre #OBrasilFelizDeNovo #100DiasDe…
2018-07-18 17:09:46,"@GracieusaBrito #FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PE… https://t.co/527yzkdwxn"
2018-07-18 17:09:44,"RT @Bartleb47410330: Trad -&gt; ""Há gente q ODEIA ver q posso conversar c/o presidente Putin da Rússia. Preferem +guerras, a aceitar isso. Cha…"
2018-07-18 17:09:41,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/8PcKrfUz6h"
2018-07-18 17:09:40,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/U9hYgL5nkE"
2018-07-18 17:09:36,RT @joaoflorb: #lulalivre e #Mandela100 #100DiasDeInjustiça Video mostra dois lutadores contra as injustiças sociais: https://t.co/457EJwHa…
2018-07-18 17:09:27,RT @turquim5: 👉Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela!!! https://t.co/L1SCtzWFrV @brasil247
2018-07-18 17:09:16,@a_postagem #lulalivre são todos comanda did pelos ameticdnid
2018-07-18 17:09:16,RT @sorayabborges: LulaeuConfio LulaInocente LulaPresidente Único atalho para parar o GOLPE contra o POVO e a Soberania Nacional LulaDeAaZ…
2018-07-18 17:09:07,"A juiza admitindo: tem leis que só valem pro Lula.

#100AnosMandela #LulaLivre #JN #BandNewsFM #GloboNews #G1 #JG https://t.co/1nuDJ9Rusu"
2018-07-18 17:08:42,RT @sorayabborges: Eleição sem @LulaOficial  É sim FRAUDE Chegaaaa já NB golpearam nossos direitos DESENVOLVIMENTO Soberania Democracia Ale…
2018-07-18 17:08:23,RT @redebrasilatual: PÉ NA ESTRADA Manifestantes percorrerão mais de 150 quilômetros até chegarem a Recife na sexta-feira com ato #LulaLivr…
2018-07-18 17:08:17,RT @sandraselmader: @ProjetoFines registrando presença na vigília #LulaLivre #1001DiasDeInjustiça @marcostalhari https://t.co/SaQ2qZ4mgW
2018-07-18 17:08:10,"RT @depjorgesolla: A justiça (e seus juízes) existe para nos livrar da tirania de homens comuns, mas quem pode nos salvar de magistrados ti…"
